Percent admitted,Admissions yield,Tuition and fees,Control of institution,Degree of urbanization,Total enrollment,Undergraduate enrollment,Graduate enrollment,Asian proportion,Black proportion,Hispanic/Latino proportion,Whie proportion,Student-to-faculty ratio,Full-time retention rate,Undergraduates in state,Undergraduates out of state,Undergraduates foreign,Graduation rate,Average professor salary,Total FTE staff,Total library expenditures per FTE,Total dormitory capacity,Books and supplies 2017-18,Full-time enrollment,Part-time enrollment
,,,Private for-profit,City: Midsize,114,114,0,4,57,16,23,10,78,,,,78,,14,,,,63,51
,,,Private for-profit,Suburb: Large,136,136,0,3,39,10,41,25,84,,,,62,,15,,,,95,41
,,13845,Private for-profit,City: Small,252,252,0,0,10,5,76,20,68,,,,34,,27,,,2325,252,0
63,74,9000,Private not-for-profit,City: Small,14519,10457,4062,3,9,8,57,19,52,52,439,8,25,79560,729,171,,1080,4579,9940
89,59,,Private not-for-profit,City: Large,73,73,0,93,0,0,7,13,87,,,,76,,15,,,,73,0
,,,Private for-profit,City: Large,11,11,0,0,18,27,36,5,,,,,70,,7,,,,7,4
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private not-for-profit,Suburb: Large,114,114,0,18,73,7,2,24,82,,,,57,,8,,,,114,0
,,,Private not-for-profit,City: Large,,,,,,,,,,,,,63,,,,,,,
,,16757,Private for-profit,Suburb: Large,183,183,0,4,30,9,46,11,43,,,,79,,31,,,700,142,41
,,16337,Private for-profit,Suburb: Large,98,98,0,0,68,4,11,7,56,,,,93,,21,,,2313,78,20
,,,Public,Suburb: Large,806,806,0,3,12,61,22,19,63,,,,63,,103,,,,350,456
,,19400,Private for-profit,City: Large,146,146,0,3,9,29,12,16,,,,,,,15,,,3000,146,0
97,22,,Public,Rural: Fringe,329,329,0,0,12,2,54,11,77,,,,59,,31,,,,78,251
,,,Private for-profit,Town: Distant,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Large,93,93,0,6,33,54,4,25,45,,,,73,,7,,,,86,7
,,,Private for-profit,City: Small,227,227,0,1,25,18,41,21,72,,,,64,,22,,,,227,0
,,19024,Private for-profit,Suburb: Large,499,499,0,2,37,40,12,5,77,,,,72,,132,,,2000,264,235
,,,Private not-for-profit,Suburb: Large,206,166,40,2,17,6,62,6,,,,,,,16,117,,,90,116
,,13438,Private for-profit,City: Large,467,135,332,1,42,18,32,11,33,,,,50,,39,,,1500,185,282
,,17482,Private for-profit,City: Small,383,383,0,5,14,29,45,15,51,,,,40,,46,,51,1500,306,77
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,4170,Public,Town: Remote,1683,1683,0,1,1,19,67,17,47,,,,21,,164,308,,1500,577,1106
,,,Public,City: Midsize,,,,,,,,,,,,,,,138,,,,,
,,17410,Private for-profit,City: Large,652,652,0,1,11,33,27,13,28,,,,41,,82,116,74,1500,494,158
,,,Private for-profit,City: Small,302,302,0,0,3,7,4,2,,,,,93,,251,,509,,302,0
,,,Private for-profit,City: Large,120,0,120,35,8,12,24,,,,,,,48281,22,,,,67,53
,,,Private for-profit,City: Large,160,0,160,10,5,4,63,,,,,,,,61,,,,117,43
,,7124,Private not-for-profit,City: Large,812,812,0,12,18,65,4,12,29,,,,,,43,,,900,72,740
,,,Private for-profit,City: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,83,83,0,0,39,33,22,10,40,,,,42,,10,,,,51,32
,,,Private for-profit,Suburb: Large,115,115,0,3,8,14,67,15,90,5,2,0,77,,12,,,,109,6
,,,Private for-profit,Suburb: Large,107,107,0,2,3,6,73,16,100,6,6,0,76,,12,,,,95,12
,,13857,Private for-profit,Suburb: Large,2915,2294,621,1,75,6,10,34,67,,,,47,,81,147,,1350,555,2360
,,,Private for-profit,Suburb: Large,91,91,0,3,41,22,21,13,73,,,,57,,8,,,,55,36
,,,Private for-profit,Suburb: Large,119,119,0,1,53,2,32,19,75,,,,70,,9,,,,82,37
,,,Private for-profit,City: Large,452,452,0,0,6,52,9,28,71,,,,59,,50,,,,452,0
,,,Private for-profit,City: Small,60,60,0,2,22,5,62,30,,,,,80,,6,,,,32,28
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private not-for-profit,City: Large,28,28,0,0,14,7,79,12,,,,,94,,4,,,,23,5
,,,Private not-for-profit,City: Large,90,90,0,14,22,34,16,15,75,,,,68,,14,,,,90,0
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Midsize,68,68,0,0,50,22,25,18,86,,,,69,,21,,,,68,0
,,,Private not-for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
65,39,27700,Private for-profit,City: Large,51,51,0,2,0,8,86,11,,,,,71,,11,,,4900,48,3
,,,Private for-profit,City: Large,34,34,0,15,0,15,65,10,,12,10,2,90,,4,,,,6,28
,,,Private for-profit,City: Large,404,404,0,0,0,100,0,50,,,,,91,,48,,,,404,0
,,,Private for-profit,City: Large,111,17,94,19,2,13,21,10,,,,,,,26,,,,106,5
,,,Public,Suburb: Midsize,246,246,0,0,5,0,92,17,94,,,,89,,51,,,,226,20
99,36,26880,Private not-for-profit,City: Midsize,351,308,43,1,1,6,55,8,67,,,,48,,81,617,166,2100,323,28
77,90,10240,Public,Town: Distant,31,31,0,0,10,13,77,6,100,,,,83,,4,,,,31,0
,,,Public,Rural: Fringe,64,64,0,0,2,0,98,10,84,,,,83,,17,,,,48,16
100,100,,Public,Suburb: Large,43,43,0,5,70,0,23,9,36,,,,61,,10,,,,43,0
,,,Public,Suburb: Large,109,109,0,1,33,5,50,4,52,,,,58,,67,,,,77,32
,,,Private for-profit,Suburb: Large,46,46,0,2,4,4,87,12,88,,,,100,,10,,,,28,18
,,,Private for-profit,Suburb: Large,138,138,0,0,7,31,19,12,89,,,,62,,8,,,,77,61
79,52,,Public,Suburb: Large,132,132,0,2,31,14,45,7,73,,,,62,,14,,,,33,99
,,,Private for-profit,Suburb: Large,1189,1189,0,4,5,34,43,14,65,,,,64,,172,333,,,1142,47
,,,Public,City: Small,107,107,0,3,18,2,73,11,67,,,,37,,18,,,,107,0
,,,Public,Suburb: Large,59,59,0,0,5,15,78,8,93,,,,94,,13,,,,59,0
,,,Public,Rural: Fringe,86,86,0,0,31,9,53,24,87,,,,86,,18,,,,86,0
,,,Public,Rural: Fringe,,,,,,,,,,,,,,,,,,,,
60,84,,Public,Suburb: Large,93,93,0,9,58,3,24,8,,,,,,,8,,,,33,60
,,,Public,Town: Fringe,97,97,0,1,5,3,91,8,50,,,,50,,8,,,,17,80
,,,Private for-profit,Suburb: Large,64,64,0,38,27,27,8,21,25,23,0,0,100,,4,,,,20,44
,,,Public,City: Midsize,293,293,0,1,11,34,53,17,34,,,,56,,39,,,,293,0
,,,Private not-for-profit,City: Large,22,0,22,5,5,0,91,,,,,,,,390,,,,22,0
86,58,15315,Private not-for-profit,City: Large,154,154,0,2,9,1,71,14,92,,,,39,,16,,,2050,123,31
,,,Private for-profit,Suburb: Large,18,18,0,0,0,6,89,14,80,,,,68,,3,,,,18,0
,,,Public,Town: Fringe,2,2,0,0,50,0,50,10,100,,,,93,,31,,,,2,0
,,,Public,City: Small,,,,,,,,,,,,,,,,,,,,
,,,Public,Suburb: Large,361,361,0,2,10,12,72,3,43,,,,69,,263,,,,361,0
22,100,,Public,Rural: Fringe,22,22,0,9,45,5,41,8,95,,,,86,,11,,,,16,6
,,,Private for-profit,City: Large,401,401,0,1,15,65,11,15,78,86,0,0,72,,41,,,,401,0
,,,Private for-profit,City: Large,174,174,0,1,9,86,3,15,72,,,,74,,17,,,,173,1
,,,Private for-profit,Suburb: Large,22,22,0,0,41,0,59,15,88,,,,57,,7,,,,22,0
100,89,9500,Private not-for-profit,City: Large,116,116,0,0,0,0,99,22,85,,,,4,,17,,300,200,116,0
,,,Public,Rural: Distant,194,194,0,2,2,7,48,13,94,,,,83,,27,,,,69,125
,,,Private for-profit,City: Small,89,89,0,0,52,1,46,20,88,9,1,0,71,,10,,,,69,20
,,,Public,Suburb: Large,,,,,,,,,,,,,,,107,,,,,
,,9960,Private for-profit,Suburb: Large,162,138,24,3,13,9,24,15,50,1,0,0,15,,21,0,,1120,162,0
,,,Private for-profit,Suburb: Large,19,18,1,0,0,21,47,4,,,,,15,,10,0,,,19,0
,,,Private not-for-profit,City: Large,82,82,0,1,7,91,0,15,86,,,,73,,13,,,,82,0
,,,Private for-profit,City: Large,295,295,0,1,13,66,13,15,86,79,0,0,81,,30,,,,295,0
,,,Private not-for-profit,Rural: Remote,128,0,128,3,16,5,73,,,,,,,83250,44,2470,,,128,0
,,,Private not-for-profit,Suburb: Large,325,0,325,3,9,19,42,,,,,,,,19,,,,69,256
,,13794,Private for-profit,City: Midsize,527,527,0,4,8,62,17,16,,,,,57,,56,,,1073,527,0
79,35,25710,Private not-for-profit,City: Small,143,143,0,2,20,8,51,8,80,,,,59,,34,,206,2100,135,8
,,,Private for-profit,City: Small,,,,,,,,,,,,,,,,,,,,
100,100,21058,Private for-profit,Suburb: Large,249,249,0,60,10,17,5,16,100,,,,100,110625,42,,,1500,249,0
,,,Private for-profit,City: Midsize,403,403,0,29,4,34,25,30,100,,,,74,,55,,,,396,7
87,95,,Public,Suburb: Midsize,40,40,0,5,13,13,65,5,93,,,,91,,9,,,,40,0
,,,Public,City: Small,316,316,0,4,21,8,65,18,43,,,,55,,53,,,,266,50
,,,Private for-profit,Suburb: Large,584,584,0,3,24,21,41,20,81,139,39,0,68,,52,,,,433,151
,,,Public,Town: Distant,192,192,0,0,3,1,92,5,86,,,,72,,50,,,,162,30
,,,Private not-for-profit,Town: Remote,6,6,0,0,0,0,100,4,,,,,,,1,,,,6,0
24,38,14616,Public,City: Large,444,444,0,4,12,5,72,5,100,,,,50,,65,337,,1648,59,385
,,,Private not-for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,6070,Private not-for-profit,Suburb: Large,98627,72385,26242,4,9,9,71,41,,,,,38,,4498,9,,200,98627,0
,,10000,Private for-profit,City: Midsize,243,235,8,4,5,50,28,8,100,,,,46,,94,,,0,243,0
,,,Private for-profit,Suburb: Large,157,157,0,0,41,34,14,30,51,,,,47,,19,,,,146,11
87,52,13850,Private not-for-profit,Suburb: Large,431,398,33,1,57,7,26,15,30,,,,25,41033,25,,,0,201,230
,,21525,Private for-profit,City: Large,59,59,0,0,10,2,71,4,40,,,,20,,34,1388,10,1500,48,11
64,30,6118,Public,Suburb: Large,14965,13854,1111,2,7,20,64,22,79,,,,48,104445,1453,342,4748,1200,11431,3534
,,,Private for-profit,Town: Distant,38,38,0,0,0,0,89,38,70,,,,76,,6,,,,38,0
,,5140,Public,Rural: Distant,141,141,0,0,6,0,5,10,58,,,,12,,43,,36,1500,89,52
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,4205,Public,City: Midsize,6534,6534,0,2,36,4,49,23,50,1333,26,12,30,53798,390,84,,1300,3562,2972
,,,Private for-profit,Suburb: Large,883,883,0,9,4,58,23,25,58,,,,75,,54,,,,883,0
,,,Private for-profit,Suburb: Large,286,286,0,1,57,16,12,23,77,65,0,0,62,,25,,,,286,0
,,,Private for-profit,Town: Remote,80,80,0,9,28,10,54,10,29,,,,76,,16,,,,57,23
,,,Private for-profit,City: Midsize,60,60,0,0,60,0,32,7,46,,,,73,,11,,,,60,0
,,,Private for-profit,Town: Distant,2,2,0,0,50,50,0,20,50,,,,,,2,,,,2,0
,,,Private for-profit,Suburb: Large,458,458,0,1,44,4,18,30,,,,,83,,31,,,,231,227
,,,Private for-profit,City: Midsize,215,215,0,2,7,11,75,17,95,,,,86,,23,,,,185,30
,,,Private not-for-profit,City: Midsize,48,48,0,2,4,6,75,21,80,,,,83,,5,,,,48,0
,,,Private for-profit,City: Large,,,,,,,,,,,,,,,,,,,,
,,16750,Private for-profit,City: Large,23,23,0,4,0,4,91,20,80,,,,77,,5,,,750,23,0
,,,Private for-profit,Suburb: Large,90,0,90,23,10,10,41,,,,,,,47920,27,,,,90,0
,,,Private for-profit,City: Large,65,65,0,0,0,100,0,4,83,,,,85,,26,,,,58,7
,,,Private for-profit,City: Small,70,70,0,0,16,9,73,19,83,,,,52,,9,,,,69,1
,,,Private for-profit,Suburb: Large,212,212,0,0,12,27,37,16,54,,,,62,,18,,,,116,96
,,13695,Private not-for-profit,City: Small,186,186,0,0,28,66,4,10,,,,,36,,38,,,1231,126,60
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,3820,Public,Rural: Fringe,111,111,0,13,0,2,13,4,50,,,,,,100,5866,38,800,51,60
,,4022,Public,Suburb: Large,19349,19349,0,6,37,5,40,16,48,,,,12,85776,1877,232,,1430,5408,13941
,,,Private for-profit,City: Small,160,160,0,1,3,1,85,22,76,6,17,0,59,,14,,,,151,9
,,,Private for-profit,City: Large,383,0,383,4,20,13,55,,,,,,,77292,100,1497,,,316,67
,,4281,Private not-for-profit,Rural: Remote,90,90,0,0,0,0,33,10,56,,,,6,,30,,,850,49,41
,,,Private for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Midsize,866,866,0,1,80,5,15,20,51,,,,45,,89,,,,866,0
,,,Private for-profit,Suburb: Large,185,185,0,2,40,1,55,18,83,,,,66,,21,,,,117,68
,,10000,Private not-for-profit,Suburb: Large,25,25,0,0,0,0,100,4,75,,,,0,,6,,47,200,25,0
,,,Private for-profit,City: Small,32,29,3,0,38,0,22,5,,,,,24,,9,0,,,32,0
,,,Public,City: Midsize,899,28,871,7,5,3,79,3,,,,,,70057,1065,3202,,,851,48
,,,Private for-profit,Suburb: Large,166,166,0,5,45,37,13,15,85,,,,72,,15,,,,112,54
,,,Private not-for-profit,City: Large,271,271,0,2,44,51,3,20,66,,,,60,,20,,,,271,0
,,,Private not-for-profit,City: Large,19,0,19,42,0,5,53,,,,,,,,5,,,,9,10
,,,Private for-profit,Suburb: Large,234,234,0,0,100,0,0,25,51,,,,54,,18,,,,185,49
,,,Private for-profit,Town: Distant,8,8,0,13,0,0,50,2,78,,,,79,,6,,,,8,0
,,13438,Private for-profit,City: Large,444,111,333,2,15,23,55,7,33,,,,17,62844,43,,,1500,183,261
,,,Private for-profit,City: Small,18,18,0,0,0,0,100,20,100,,,,82,,4,,,,18,0
,,11626,Private for-profit,City: Small,,,,,,,,,,,,,,,,,,1739,,
,,11346,Private for-profit,Suburb: Large,316,316,0,1,20,1,67,12,,,,,47,,40,,,3121,316,0
,,,Private for-profit,City: Midsize,68,0,68,7,1,10,68,,,,,,,,14,,,,36,32
,,,Private for-profit,City: Small,149,149,0,1,1,11,74,15,,,,,72,,10,,,,68,81
,,4079,Public,Rural: Fringe,2342,2342,0,1,27,4,57,27,52,453,0,0,18,48262,104,223,,1220,1023,1319
,,,Private for-profit,City: Large,3653,3653,0,3,14,17,14,25,61,,,,60,,296,38,,,3653,0
,,13438,Private for-profit,City: Midsize,414,146,268,12,13,30,40,6,50,,,,60,54834,45,,,1500,145,269
,,15000,Private for-profit,City: Small,68,68,0,9,31,4,54,4,,,,,50,,17,225,,1350,11,57
,,20520,Private for-profit,Suburb: Large,99,99,0,0,8,4,86,8,100,,,,100,,10,,,,15,84
,,11250,Private not-for-profit,Suburb: Large,81,63,18,0,1,15,77,4,89,3,3,1,29,26042,26,,157,1000,54,27
,,,Private for-profit,City: Large,160,160,0,1,74,5,19,14,86,,,,63,,15,,,,84,76
,,,Private for-profit,Town: Fringe,149,149,0,1,18,7,70,25,51,,,,48,,15,,,,149,0
,,,Private for-profit,City: Midsize,215,215,0,0,47,3,48,29,79,,,,67,,15,,,,215,0
,,,Private for-profit,City: Large,226,226,0,5,7,13,70,15,72,,,,59,,29,,,,226,0
96,21,12838,Public,Suburb: Midsize,872,872,0,8,11,19,56,21,85,310,2,0,59,148165,89,352,,850,784,88
94,21,12838,Public,Suburb: Midsize,657,657,0,7,4,11,69,20,86,210,4,1,58,148165,89,410,,850,575,82
82,16,12848,Public,City: Midsize,1796,1796,0,10,12,27,40,19,84,499,51,11,64,148165,89,199,265,850,1452,344
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,10427,Private for-profit,Suburb: Large,108,108,0,0,32,8,35,8,54,,,,45,,22,,,1324,108,0
,,9450,Private for-profit,City: Midsize,1176,917,259,11,19,9,26,14,88,,,,33,72596,89,,,240,647,529
,,4221,Public,City: Midsize,7908,7908,0,2,46,4,39,26,45,,,,11,54917,474,102,,1300,3878,4030
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
100,82,,Private not-for-profit,Suburb: Large,94,94,0,0,0,0,96,8,86,,,,90,,23,,,,94,0
,,,Private not-for-profit,City: Large,344,344,0,9,2,13,64,12,,,,,,81063,63,955,85,,331,13
,,,Private not-for-profit,Town: Distant,280,261,19,4,2,8,55,8,,,,,,81063,27,795,,,16,264
,,,Private for-profit,City: Midsize,550,550,0,0,26,2,69,25,87,,,,72,,87,,,,534,16
,,,Private for-profit,Suburb: Large,232,232,0,0,0,99,0,20,70,,,,57,,20,,,,213,19
,,,Private for-profit,City: Large,372,372,0,1,17,57,20,15,85,,,,72,,34,,,,372,0
,,,Private not-for-profit,City: Large,47,47,0,0,87,11,2,15,,,,,,,40,,,,47,0
11,19,,Private not-for-profit,City: Large,175,175,0,7,65,10,14,7,,,,,42,,35,,,,87,88
,,17000,Private for-profit,City: Midsize,78,78,0,3,1,0,64,17,5,,,,44,,20,,,500,78,0
,,,Private for-profit,Suburb: Large,181,181,0,1,72,3,23,10,50,,,,43,,35,,,,181,0
,,,Private for-profit,City: Large,218,218,0,2,18,63,12,16,45,,,,43,,27,,,,218,0
,,,Private for-profit,City: Large,135,135,0,1,7,4,82,12,100,,,,80,,16,,,,115,20
51,46,,Private for-profit,City: Large,680,680,0,16,3,54,16,19,74,59,0,0,74,,53,23,,,563,117
,,16968,Private not-for-profit,Suburb: Large,651,563,88,10,8,14,40,19,8,,,,10,,59,,,0,651,0
,,,Private for-profit,City: Large,348,348,0,1,11,56,24,21,90,,,,53,,24,,,,218,130
,,11005,Private for-profit,Town: Distant,220,220,0,0,4,5,89,17,54,,,,31,,24,,,175,166,54
,,11346,Private for-profit,Town: Distant,289,289,0,0,16,3,80,14,56,,,,69,,30,,,100,228,61
67,17,,Private for-profit,Suburb: Large,365,365,0,17,12,34,29,20,76,18,0,0,63,,37,24,,,306,59
,,,Private for-profit,Suburb: Large,113,113,0,0,0,100,0,25,70,,,,60,,35,,,,91,22
,,,Private for-profit,Suburb: Large,412,412,0,1,17,27,24,25,75,,,,80,,30,,,,412,0
,,15135,Private for-profit,Suburb: Large,2282,1981,301,7,54,7,18,6,25,,,,6,,384,171,,,632,1650
,,,Private for-profit,Suburb: Large,1273,1273,0,4,3,61,20,37,69,,,,57,,79,,,,1273,0
,,11425,Private for-profit,City: Midsize,2140,1904,236,1,61,1,11,20,29,143,8,0,14,,110,67,,1500,1031,1109
,,10407,Private not-for-profit,Suburb: Large,175,175,0,1,59,5,25,24,69,,,,58,,12,,,1050,171,4
,,,Private not-for-profit,City: Large,,,,,,,,,,,,,,,,,,,,
,,,Public,City: Large,,,,,,,,,,,,,,,149,,,,,
,,,Private for-profit,City: Small,57,57,0,0,72,0,28,10,100,,,,88,,5,,,,40,17
,,3552,Public,Rural: Fringe,602,602,0,0,1,0,95,11,46,46,0,0,32,,46,,,1372,143,459
,,16757,Private for-profit,City: Large,132,132,0,1,20,5,68,8,73,,,,77,,25,,,700,92,40
,,,Private for-profit,City: Midsize,252,252,0,1,18,46,30,22,54,,,,48,,20,,,,210,42
,,16950,Private not-for-profit,City: Midsize,34,34,0,0,56,0,26,5,,,,,38,,5,,,,34,0
,,,Private not-for-profit,City: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Small,76,22,54,11,9,17,53,7,,,,,,,9,,,,48,28
,,,Private for-profit,City: Large,22,10,12,0,5,14,82,8,,,,,0,,2,,,,3,19
55,71,,Private for-profit,City: Small,385,385,0,2,1,8,78,37,70,40,2,0,64,,26,25,,,384,1
,,,Private for-profit,City: Large,168,168,0,3,30,35,28,19,85,29,0,0,79,,21,,,,168,0
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,3831,Public,Suburb: Large,4590,4590,0,6,5,12,55,14,61,744,1,0,30,,135,247,,855,1866,2724
,,,Public,City: Large,,,,,,,,,,,,,,,281,,,,,
,,3828,Public,Suburb: Large,3425,3425,0,10,3,10,50,16,,392,2,0,29,,166,324,,825,1721,1704
84,10,31508,Private not-for-profit,City: Large,1170,1118,52,3,9,20,53,15,76,,,,57,105163,145,321,841,1500,1082,88
,,,Private for-profit,Suburb: Large,29,29,0,0,41,3,28,4,,,,,12,,10,0,,,29,0
,,,Private not-for-profit,City: Large,500,500,0,25,10,36,27,20,94,,,,77,,62,,,,500,0
,,10675,Private for-profit,City: Small,111,6,105,8,6,11,68,6,,,,,,,15,,,75,111,0
,,,Private not-for-profit,City: Midsize,150,43,107,12,6,29,46,6,,,,,,,20,,,,150,0
44,43,26535,Private for-profit,Suburb: Large,311,311,0,1,95,2,1,22,36,,,,31,,31,,,1500,236,75
,,,Private for-profit,City: Large,312,312,0,0,100,0,0,20,60,,,,53,,23,,,,173,139
,,,Private for-profit,City: Midsize,51,51,0,0,84,2,14,3,38,,,,47,,25,,,,51,0
,,,Private for-profit,City: Midsize,284,284,0,1,73,2,23,14,57,,,,58,,37,,,,284,0
,,,Private for-profit,City: Large,54,54,0,0,4,70,26,15,60,,,,70,,17,,,,54,0
,,,Private not-for-profit,City: Large,581,581,0,1,15,9,51,21,73,,,,73,,61,,,,581,0
,,12400,Private not-for-profit,City: Large,168,168,0,13,49,2,29,13,50,,,,68,37440,22,,,2000,114,54
24,100,,Public,Suburb: Large,420,420,0,2,33,4,60,19,94,,,,89,,33,,,,420,0
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Rural: Fringe,112,112,0,2,13,40,40,14,,70,0,0,78,,15,,,,112,0
,,,Private not-for-profit,Suburb: Large,43,43,0,0,0,100,0,14,,,,,91,,15,,,,43,0
52,54,14400,Private not-for-profit,Suburb: Large,662,400,262,5,14,14,61,13,80,,,,15,72489,79,255,,1218,308,354
,,14412,Private for-profit,City: Midsize,312,312,0,0,79,1,18,28,66,,,,52,,29,,,794,312,0
,,,Private for-profit,Suburb: Large,122,122,0,83,6,9,2,25,91,,,,80,,7,,,,79,43
,,,Private for-profit,City: Large,38,38,0,0,0,100,0,18,92,,,,95,,14,,,,30,8
,,,Private not-for-profit,Suburb: Large,196,68,128,67,3,5,17,11,,,,,,,24,,,,129,67
,,15213,Private for-profit,Suburb: Large,398,398,0,3,34,6,50,21,51,,,,65,,37,,,877,398,0
,,,Private not-for-profit,Suburb: Large,124,0,124,0,27,6,63,,,,,,,57689,16,1044,,,74,50
,,,Private for-profit,Suburb: Midsize,55,55,0,2,2,0,91,11,100,20,0,0,91,,8,,,,55,0
,,,Private for-profit,Suburb: Large,86,86,0,7,7,73,13,10,100,,,,68,,8,,,,79,7
,,8756,Private not-for-profit,Rural: Distant,48,48,0,0,0,0,98,12,50,,,,50,,13,,183,650,35,13
,,,Private for-profit,Suburb: Large,314,314,0,2,18,73,2,45,88,,,,81,,21,,,,314,0
,,,Private for-profit,City: Large,27,0,27,0,0,0,0,,,,,,,,7,,,,27,0
,,,Private for-profit,Town: Distant,20,20,0,0,10,10,65,7,75,,,,89,,8,,,,20,0
,,10765,Private for-profit,City: Small,151,37,114,7,7,56,20,13,92,,,,65,45979,23,,,250,151,0
,,,Private not-for-profit,City: Midsize,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,City: Large,106,106,0,1,4,42,35,13,87,,,,60,,10,,,,106,0
,,,Private not-for-profit,Town: Remote,15,0,15,7,0,0,67,,,,,,,,7,,,,15,0
,,,Private not-for-profit,Suburb: Large,591,0,591,39,7,10,21,,,,,,,113180,152,805,,,561,30
,,16657,Private for-profit,Suburb: Large,707,707,0,5,50,11,25,12,61,,,,86,,88,,,700,552,155
,,,Private for-profit,Town: Distant,,,,,,,,,,,,,,,,,,,,
,,,Private for-profit,Suburb: Large,147,147,0,1,67,12,9,27,65,,,,51,,9,,,,91,56
,,,Private not-for-profit,Rural: Fringe,,,,,,,,,,,,,,,91,,,,,
,,,Private for-profit,Suburb: Large,65,65,0,0,35,0,65,6,64,,,,57,,15,,,,65,0
,,,Public,Rural: Distant,36,36,0,0,3,0,97,18,100,,,,79,,16,,,,36,0
,,,Private for-profit,City: Midsize,84,84,0,0,10,2,87,14,67,,,,80,,8,,,,84,0
,,,Private for-profit,City: Large,169,169,0,6,34,26,5,12,83,,,,85,,56,,,,169,0
,,16950,Private not-for-profit,City: Midsize,60,60,0,0,80,2,5,12,75,,,,44,,7,,,,60,0
,,,Private for-profit,City: Midsize,166,166,0,1,52,14,28,20,75,31,1,0,75,,19,,,,166,0
,,,Private for-profit,City: Large,204,204,0,0,0,98,1,11,75,37,0,0,63,,27,,,,204,0
,,17590,Private for-profit,City: Midsize,498,498,0,3,51,16,20,15,51,,,,22,,54,190,48,1500,369,129
,,12450,Private not-for-profit,Town: Distant,183,141,42,1,0,2,22,10,94,,,,78,,,,,1600,149,34
,,2760,Public,Rural: Distant,2512,2512,0,0,15,4,75,17,61,398,3,0,29,52966,201,84,,1440,1095,1417
,,,Private not-for-profit,Rural: Distant,51,1,50,0,2,10,76,3,,,,,,47162,13,1884,,,13,38
,,,Private for-profit,Suburb: Large,22,22,0,0,18,5,45,6,,,,,20,,7,0,,,22,0
,,,Private for-profit,City: Large,11,11,0,9,36,0,36,,,,,,5,,,0,,,11,0
,,,Private for-profit,City: Midsize,5,5,0,0,0,20,20,15,,,,,13,,2,0,,,5,0
,,,Private for-profit,Suburb: Large,,,,,,,,,,,,,,,,,,,,
,,,Public,Suburb: Midsize,306,306,0,3,5,56,29,24,,137,0,0,80,,22,,,,99,207
,,,Public,Suburb: Large,465,465,0,2,17,2,76,19,65,,,,88,,41,,,,465,0
,,6075,Private for-profit,Town: Fringe,295,295,0,3,14,9,66,8,,,,,0,,6,164,,1350,51,244
,,15000,Private for-profit,City: Large,163,163,0,3,7,33,39,8,,,,,0,,9,120,,1350,45,118
,,15000,Private for-profit,Suburb: Large,125,125,0,6,34,2,54,4,,,,,0,,16,169,,1350,20,105
,,9530,Private for-profit,Suburb: Large,17,17,0,0,0,88,12,10,40,,,,33,,8,,,1600,17,0
,,21076,Private not-for-profit,City: Large,543,501,42,4,36,38,15,9,71,,,,0,52730,95,,,1200,431,112
,,19400,Private for-profit,City: Large,66,66,0,17,5,11,35,14,,,,,,,3,,,3000,66,0
68,31,9774,Public,City: Small,1204,955,249,2,1,7,76,10,79,75,3,3,,123334,57,210,297,1200,496,708
,,,Private for-profit,City: Midsize,79,79,0,1,19,48,28,11,,,,,65,,11,,,,79,0
,,11068,Private for-profit,City: Large,689,689,0,0,96,1,2,20,68,,,,41,,52,,,2072,689,0
,,11529,Private for-profit,City: Large,88,88,0,2,25,5,36,7,63,,,,53,,20,,,1801,88,0
,,11237,Private for-profit,City: Large,46,46,0,2,26,11,59,5,76,,,,44,,11,,,1479,46,0
